name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,position,unique_id
Roderick Jefferson_Gon?alves Miranda_429,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,380,0,0,0,0,0,0,744,0,130608,0,0,0,40,53,0,0,-3188,1064,4252,1520,19.0,0,0,760,76,618735
Romain_Sa?ss_426,0,732,2,0,5,248,3,98,567,70.90000000000002,6,0,0,27,17,2,56.20000000000001,363.59999999999997,4,1142,0,2,380,0,0,0,0,82,0,744,0,613714,4,19,5,40,53,129,47,13500,55381,41881,1610,19.0,1,7,760,76,614403
Romelu_Lukaku_306,1,534,3,15,14,361,4,21,354,330.20000000000005,18,0,0,18,38,12,193.49999999999994,550.5999999999998,21,2126,23,5,392,0,0,0,0,31,0,744,0,11766515,67,3,14,57,62,1052,115,-248781,680748,929529,4104,19.0,4,4,532,152,441123
Ross_Barkley_127,5,955,4,4,5,300,7,23,871,349.00000000000006,16,1,0,14,13,3,110.0,324.0,22,1231,0,1,408,0,0,0,0,87,0,746,0,5256535,39,9,16,36,66,429,79,36410,731037,694627,2072,19.0,0,1,228,114,182647
Ruben_Loftus-Cheek_132,2,613,1,2,6,292,5,22,538,254.90000000000003,43,0,0,10,9,6,99.39999999999998,391.6,17,980,2,0,408,0,0,0,0,75,0,746,0,1332602,47,9,12,36,66,346,79,-13971,76155,90126,1988,19.0,2,0,228,114,189867
Rui Pedro_da Rocha Fonte_188,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,402,0,0,0,0,0,0,740,0,402684,0,0,0,48,67,0,0,-17743,5751,23494,1674,19.0,0,0,342,114,270731
Rui Pedro_dos Santos Patr?cio_454,0,758,0,0,4,581,8,15,405,0.0,0,1,3,0,46,0,69.10000000000001,694.9999999999999,0,3330,0,0,380,0,0,0,0,260,0,744,97,19060906,0,0,0,40,53,0,118,151374,747746,596372,1722,19.0,0,0,760,38,654835
Ryan John_Giles_555,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,239,0,0,0,0,0,0,653,0,24782,0,0,0,26,40,0,0,796,2494,1698,1125,12.0,0,0,500,75,522175
Ryan_Babel_575,4,467,4,7,8,246,3,15,390,336.80000000000007,25,0,1,14,26,5,101.5,322.0,23,1250,9,5,186,0,0,0,0,48,0,487,0,537343,37,4,8,21,25,355,75,110039,159367,49328,881,9.0,1,3,144,48,340744
Ryan_Bennett_427,0,1338,1,1,1,467,9,197,1067,129.7,4,1,0,37,38,1,86.9,566.4,9,3060,1,0,380,0,2,0,0,135,0,744,0,22584236,1,15,9,40,53,172,89,154052,1084903,930851,1569,19.0,0,12,760,76,615847
