Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Hugill,WHU,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hyndman,BOU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hojbjerg,SOU,MID,45,140.0,209.6,120.0,47.2,19,2,0,0,0,0,0,2,1,4.5,796,4,29
Ibe,BOU,MID,51,74.6,18.6,54.0,14.7,5,0,0,0,0,0,0,0,0,0.2,146,0,6
Iborra,LEI,MID,47,9.0,22.8,21.0,5.4,2,0,0,0,0,0,0,0,0,0.0,113,0,5
Iheanacho,LEI,FWD,59,148.4,114.0,146.0,40.5,8,1,4,0,0,0,0,1,0,1.5,604,3,36
Ince,HUD,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Ings,SOU,FWD,55,182.8,232.2,489.0,90.4,14,4,1,0,0,0,0,1,0,4.7,820,6,44
Iwobi,ARS,MID,55,115.0,130.8,132.0,37.6,8,1,3,0,0,0,0,0,0,1.2,480,0,27
Izquierdo,BHA,MID,59,8.7,38.0,83.0,13.0,4,0,1,0,0,0,0,0,0,0.1,337,0,15
Jach,CRY,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Jagielka,EVE,DEF,43,0.0,1.2,0.0,0.1,2,0,0,0,0,0,0,0,1,0.5,53,0,-2
Jahanbakhsh,BHA,MID,67,58.7,44.0,73.0,17.5,4,0,0,0,0,0,0,2,0,0.7,437,0,15
Jakupovic,LEI,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
James,LEI,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Janmaat,WAT,DEF,49,93.5,125.8,30.0,25.1,6,0,1,0,0,0,0,2,0,0.3,521,4,20
Jazz Richards,CAR,DEF,39,1.5,12.2,0.0,1.5,4,0,0,0,0,0,0,0,0,0.7,97,0,1
Jesus,MCI,FWD,101,113.6,85.6,324.0,52.4,2,1,0,0,0,0,0,0,0,1.3,295,1,15
Jimenez,WOL,FWD,58,245.9,248.0,453.0,94.2,12,3,5,0,0,0,0,0,0,13.3,979,6,56
Johansen,FUL,MID,51,28.2,43.0,3.0,7.5,11,0,0,0,0,0,0,2,0,0.1,313,0,10
Jones,MUN,DEF,51,0.3,8.2,0.0,0.9,2,0,0,0,0,0,0,0,0,0.5,57,0,0
Jonny,WOL,DEF,45,180.8,213.2,159.0,55.5,13,1,1,0,0,0,0,2,0,2.7,1008,4,46
Jorginho,CHE,MID,50,242.0,247.8,45.0,53.4,8,1,0,0,0,0,0,1,0,8.9,1029,1,35
Joselu,NEW,FWD,49,29.3,107.4,215.0,35.0,9,2,0,0,0,0,0,1,0,3.4,436,3,22
Jota,WOL,MID,59,142.1,56.0,204.0,40.3,9,0,1,0,0,0,0,3,0,0.9,769,0,23
Kabasele,WAT,DEF,45,11.4,145.8,167.0,32.4,12,0,0,0,0,0,0,0,1,0.4,666,0,13
Kaboul,WAT,DEF,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Kachunga,HUD,FWD,48,9.6,6.0,21.0,3.3,2,0,0,0,0,0,0,0,0,0.1,153,0,4
Kaikai,CRY,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Kamara,FUL,FWD,43,66.4,13.8,54.0,12.6,10,0,0,0,0,0,0,1,0,7.7,242,0,5
Kane,TOT,FWD,123,165.8,319.4,580.0,106.4,10,6,2,0,0,0,0,3,0,22.3,1071,10,61
Kante,CHE,MID,49,262.5,201.8,163.0,62.7,8,1,1,0,0,0,0,3,0,16.2,1080,0,35
Karius,LIV,GKP,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
