    ID,    Web Name,    Player ID,    Full Name,    Team,    News,    Position,    Current Price,    Value Season,    Cost Change from Start,    Percentage selected by,    Transfers In,    Transfers Out,    Total Points,    Points Per Game,    Minutes,    Goals Scored,    Assists,    Clean Sheets,    Goals Conceded,    Own Goals,    Penalties Saved,    Penalties Missed,    Yellow Cards,    Red Cards,    Saves,    Bonus Points,    Bonus Point System Score,    Influence,    Creativity,    Threat,        ICT Index,    EA Index,
                72,        Hemed,        38499,        Tomer Hemed,        36,        ,        4,        46,        9.3,        -4,        1.0,        305386,        285254,        43,        2.7,        842,        2,        2,        3,        8,        0,        0,        0,        0,        0,        0,        5,        110,        152.0,        66.1,        227.0,        44.2,        0,    
                73,        Baldock,        28462,        Sam Baldock,        36,        ,        4,        49,        0.4,        -1,        0.0,        2765,        3099,        2,        1.0,        30,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0,        0,        4,        0.4,        0.8,        6.0,        0.7,        0,    
                210,        Ulloa,        54316,        Leonardo Ulloa,        36,        ,        4,        48,        4.2,        -2,        0.3,        38386,        37082,        20,        1.4,        279,        1,        0,        1,        4,        0,        0,        0,        0,        0,        0,        0,        66,        68.0,        94.2,        66.0,        22.7,        0,    
                461,        Suttner,        43808,        Markus Suttner,        36,        ,        2,        42,        9.0,        -3,        0.4,        60188,        83985,        38,        2.7,        1178,        0,        0,        4,        18,        0,        0,        0,        0,        0,        0,        3,        204,        187.4,        105.6,        17.0,        30.8,        0,    
                481,        Brown,        112516,        Isaiah Brown,        36,        Knee injury - Unknown return date,        3,        52,        3.1,        -3,        0.0,        774,        4031,        16,        1.2,        302,        0,        0,        0,        8,        0,        0,        0,        0,        0,        0,        0,        60,        33.2,        86.2,        25.0,        14.5,        0,    
                490,        Pröpper,        66242,        Davy Pröpper,        36,        ,        3,        53,        16.4,        -2,        0.1,        11375,        16309,        87,        2.5,        3118,        0,        4,        9,        50,        0,        0,        0,        2,        1,        0,        1,        446,        535.8,        297.1,        255.0,        108.9,        0,    
                517,        Izquierdo,        167473,        José Heriberto Izquierdo Mena,        36,        ,        3,        59,        17.1,        -1,        0.3,        42611,        28326,        101,        3.2,        1976,        5,        5,        5,        32,        0,        0,        0,        2,        0,        0,        4,        324,        385.4,        311.3,        618.0,        131.3,        0,    
                538,        Schelotto,        74375,        Ezequiel Schelotto,        36,        ,        2,        44,        4.5,        -1,        0.1,        7784,        4660,        20,        1.0,        1313,        0,        0,        0,        30,        0,        0,        0,        3,        0,        0,        0,        183,        210.0,        99.2,        73.0,        38.2,        0,    
                540,        Krul,        20480,        Tim Krul,        36,        ,        1,        39,        0.0,        -1,        0.8,        79902,        41730,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                553,        Molumby,        220738,        Jayson Molumby,        36,        ,        3,        45,        0.0,        0,        0.0,        862,        718,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                604,        Locadia,        106757,        Jürgen Locadia,        36,        ,        4,        60,        2.7,        0,        0.0,        6846,        5188,        16,        2.7,        221,        1,        1,        1,        8,        0,        0,        0,        0,        0,        0,        2,        47,        50.4,        24.6,        89.0,        15.8,        0,    
                74,        Heaton,        21205,        Tom Heaton,        90,        ,        1,        47,        1.7,        -3,        1.7,        20486,        366889,        8,        2.0,        305,        0,        0,        0,        4,        0,        0,        0,        0,        0,        8,        0,        48,        53.4,        0.0,        0.0,        5.3,        0,    
                75,        Robinson,        1801,        Paul Robinson,        90,        Retired,        1,        45,        0.0,        0,        0.0,        109,        405,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                76,        Lowton,        68983,        Matthew Lowton,        90,        ,        2,        44,        20.2,        -1,        4.9,        577366,        362018,        89,        3.4,        2295,        0,        3,        8,        26,        0,        0,        0,        1,        0,        0,        4,        450,        574.6,        264.9,        46.0,        89.0,        0,    
